Subject,Type,Value,Attribute
Martha Adkinson,persName,"Martha Atkeson",#mlper000216
Martha Adkinson,name,"born",
Martha Adkinson,placeName,"Scols? in the Parish of Birstol",#mlpla000030
Martha Adkinson,name,"Grace",
Martha Adkinson,name,"in Her Heart",
Martha Adkinson,name,"concern",
Martha Adkinson,name,"prosperity of Her Heart",
Martha Adkinson,name,"Happiness",
Martha Adkinson,name,"injoy",
Martha Adkinson,name,"greatly afronted",
Martha Adkinson,name,"no rest",
Martha Adkinson,name,"surpris'd",
Martha Adkinson,name,"desire",
Martha Adkinson,name,"desire",
Martha Adkinson,name,"Novbr 1761 she removed into came to live in the Choirhouse",
Martha Adkinson,name,"was received into the Congregation",
Martha Adkinson,name,"Chereful",
Martha Adkinson,name," Hly Commuion",
Martha Adkinson,name,"Gracious",
Martha Adkinson,name,"drawing in Her heart",
Martha Adkinson,name,"Grace",
Martha Adkinson,name,"injoy'd",
Martha Adkinson,name,"comfortable",
Martha Adkinson,name,"blessing",
Martha Adkinson,name,"to Her Heart",
Martha Adkinson,name,"Jan 30 1767 she became a participant of the holy sacramt",
Martha Adkinson,placeName,"little mor",#mlpla000052
Martha Adkinson,name,"Grace",
Martha Adkinson,name,"perplexity",
Martha Adkinson,name,"more chearfull",
Martha Adkinson,name,"Clear",
Martha Adkinson,name,"conforted",
Martha Adkinson,name,"Extraordinary chearfull",
Martha Adkinson,name,"happy",
Martha Adkinson,name,"Grace",
Martha Adkinson,name,"thankfull",
Martha Adkinson,name,"devoted",
Martha Adkinson,name,"forgiven",
Martha Adkinson,name,"Extraordinary chearfull",
Martha Adkinson,name,"dear",
Martha Adkinson,name,"Blessing",
Martha Adkinson,name,"most affecting",
Martha Adkinson,persName,"M. Adkeson",#mlper000216
Martha Adkinson,placeName,"Little more",#mlpla000052
Martha Adkinson,name,"Clear",
Martha Adkinson,name,"in Her Heart",
Martha Adkinson,name,"Blessing",
Martha Adkinson,name,"happy",
Martha Adkinson,name,"melted",
Martha Adkinson,name,"thankfull",
Martha Adkinson,name,"Heart",
Martha Adkinson,name,"Grace",
Martha Adkinson,name,"openhearted",
Martha Adkinson,name,"Tender",
Martha Adkinson,name,"much belov'd",
Martha Adkinson,name,"melted",
Martha Adkinson,name,"Thankful",
Martha Adkinson,name,"Heart",
Martha Adkinson,name,"Grace",
Martha Adkinson,name,"blessing",
Martha Adkinson,name,"Grace",
Martha Adkinson,name,"open Hearted",
Martha Adkinson,name,"much beloved",
Martha Adkinson,name,"so chereful",
Martha Adkinson,name,"delight",
Martha Adkinson,name,"Thankful",
Martha Adkinson,name,"Grace",
Martha Adkinson,name,"devote",
Martha Adkinson,name,"forgiven",
Martha Adkinson,name,"Extrordnary chereful",
Martha Adkinson,name,"relieve",
Martha Adkinson,name,"blessing",
Martha Adkinson,name,"Effecting impression",
Martha Adkinson,name,"Happly",
Martha Adkinson,name,"happy",
Subject,Type,Value,Attribute
Mary Alott,persName,"Mary Alott",#mlper000217
Mary Alott,name,"born",
Mary Alott,placeName,"Barksland in the Parish of Elland",#mlpla000100
Mary Alott,persName,"Mary",#mlper000217
Mary Alott,name,"begg'd",
Mary Alott,placeName,"Smith House",#mlpla000122
Mary Alott,persName,"Mary",#mlper000217
Mary Alott,name,"very glad",
Mary Alott,name,"leave to live with the Single Sisters in Clack- Heaton",
Mary Alott,placeName,"Clack- Heaton",#mlpla000097
Mary Alott,placeName,"Tyre-sell-Hall",#mlpla000098
Mary Alott,name,"receiv'd in the Congregation",
